     count_list      y_history    x_0_history    x_1_history   dx_0_history   dx_1_history
            220    7.17780e-05    9.94009e-01    4.94009e-01    1.19815e-04    1.19815e-04
            221    6.89356e-05    9.94129e-01    4.94129e-01    1.17419e-04    1.17419e-04
            222    6.62057e-05    9.94246e-01    4.94246e-01    1.15070e-04    1.15070e-04
            223    6.35840e-05    9.94362e-01    4.94362e-01    1.12769e-04    1.12769e-04
            224    6.10660e-05    9.94474e-01    4.94474e-01    1.10513e-04    1.10513e-04
            225    5.86478e-05    9.94585e-01    4.94585e-01    1.08303e-04    1.08303e-04
            226    5.63254e-05    9.94693e-01    4.94693e-01    1.06137e-04    1.06137e-04
            227    5.40949e-05    9.94799e-01    4.94799e-01    1.04014e-04    1.04014e-04
            228    5.19527e-05    9.94903e-01    4.94903e-01    1.01934e-04    1.01934e-04
            229    4.98954e-05    9.95005e-01    4.95005e-01    9.98953e-05    9.98953e-05
            230    4.79195e-05    9.95105e-01    4.95105e-01    9.78974e-05    9.78974e-05
            231    4.60219e-05    9.95203e-01    4.95203e-01    9.59395e-05    9.59395e-05
            232    4.41995e-05    9.95299e-01    4.95299e-01    9.40207e-05    9.40207e-05
            233    4.24492e-05    9.95393e-01    4.95393e-01    9.21403e-05    9.21403e-05
            234    4.07682e-05    9.95485e-01    4.95485e-01    9.02975e-05    9.02975e-05
            235    3.91538e-05    9.95575e-01    4.95575e-01    8.84915e-05    8.84915e-05
            236    3.76033e-05    9.95664e-01    4.95664e-01    8.67217e-05    8.67217e-05
            237    3.61142e-05    9.95751e-01    4.95751e-01    8.49873e-05    8.49873e-05
            238    3.46841e-05    9.95836e-01    4.95836e-01    8.32875e-05    8.32875e-05
            239    3.33106e-05    9.95919e-01    4.95919e-01    8.16218e-05    8.16218e-05
            240    3.19915e-05    9.96001e-01    4.96001e-01    7.99893e-05    7.99893e-05
            241    3.07246e-05    9.96081e-01    4.96081e-01    7.83895e-05    7.83895e-05
            242    2.95079e-05    9.96159e-01    4.96159e-01    7.68218e-05    7.68218e-05
            243    2.83394e-05    9.96236e-01    4.96236e-01    7.52853e-05    7.52853e-05
            244    2.72172e-05    9.96311e-01    4.96311e-01    7.37796e-05    7.37796e-05
            245    2.61394e-05    9.96385e-01    4.96385e-01    7.23040e-05    7.23040e-05
            246    2.51042e-05    9.96457e-01    4.96457e-01    7.08579e-05    7.08579e-05
            247    2.41101e-05    9.96528e-01    4.96528e-01    6.94408e-05    6.94408e-05
            248    2.31554e-05    9.96597e-01    4.96597e-01    6.80520e-05    6.80520e-05
            249    2.22384e-05    9.96665e-01    4.96665e-01    6.66909e-05    6.66909e-05
            250    2.13578e-05    9.96732e-01    4.96732e-01    6.53571e-05    6.53571e-05
            251    2.05120e-05    9.96798e-01    4.96798e-01    6.40500e-05    6.40500e-05
            252    1.96997e-05    9.96862e-01    4.96862e-01    6.27690e-05    6.27690e-05
            253    1.89196e-05    9.96924e-01    4.96924e-01    6.15136e-05    6.15136e-05
            254    1.81704e-05    9.96986e-01    4.96986e-01    6.02833e-05    6.02833e-05
