     count_list      y_history   x[0]_history   x[1]_history  dx[0]_history  dx[1]_history
            202    2.31516e-05    1.00340e+00    5.03402e-01   -9.01077e-05   -9.01077e-05
            203    2.19415e-05    1.00331e+00    5.03312e-01   -8.77214e-05   -8.77214e-05
            204    2.07947e-05    1.00322e+00    5.03224e-01   -8.53982e-05   -8.53982e-05
            205    1.97078e-05    1.00314e+00    5.03139e-01   -8.31366e-05   -8.31366e-05
            206    1.86777e-05    1.00306e+00    5.03056e-01   -8.09348e-05   -8.09348e-05
            207    1.77015e-05    1.00298e+00    5.02975e-01   -7.87914e-05   -7.87914e-05
            208    1.67763e-05    1.00290e+00    5.02896e-01   -7.67047e-05   -7.67047e-05
            209    1.58995e-05    1.00282e+00    5.02820e-01   -7.46733e-05   -7.46733e-05
            210    1.50684e-05    1.00274e+00    5.02745e-01   -7.26957e-05   -7.26957e-05
            211    1.42808e-05    1.00267e+00    5.02672e-01   -7.07704e-05   -7.07704e-05
            212    1.35344e-05    1.00260e+00    5.02601e-01   -6.88962e-05   -6.88962e-05
            213    1.28270e-05    1.00253e+00    5.02532e-01   -6.70715e-05   -6.70715e-05
            214    1.21566e-05    1.00247e+00    5.02465e-01   -6.52952e-05   -6.52952e-05
            215    1.15212e-05    1.00240e+00    5.02400e-01   -6.35659e-05   -6.35659e-05
            216    1.09190e-05    1.00234e+00    5.02337e-01   -6.18825e-05   -6.18825e-05
            217    1.03483e-05    1.00227e+00    5.02275e-01   -6.02436e-05   -6.02436e-05
            218    9.80741e-06    1.00221e+00    5.02214e-01   -5.86481e-05   -5.86481e-05
            219    9.29480e-06    1.00216e+00    5.02156e-01   -5.70948e-05   -5.70948e-05
            220    8.80899e-06    1.00210e+00    5.02099e-01   -5.55827e-05   -5.55827e-05
            221    8.34856e-06    1.00204e+00    5.02043e-01   -5.41107e-05   -5.41107e-05
            222    7.91220e-06    1.00199e+00    5.01989e-01   -5.26776e-05   -5.26776e-05
            223    7.49865e-06    1.00194e+00    5.01936e-01   -5.12825e-05   -5.12825e-05
            224    7.10672e-06    1.00189e+00    5.01885e-01   -4.99243e-05   -4.99243e-05
            225    6.73526e-06    1.00184e+00    5.01835e-01   -4.86021e-05   -4.86021e-05
            226    6.38323e-06    1.00179e+00    5.01787e-01   -4.73149e-05   -4.73149e-05
            227    6.04959e-06    1.00174e+00    5.01739e-01   -4.60618e-05   -4.60618e-05
            228    5.73339e-06    1.00169e+00    5.01693e-01   -4.48419e-05   -4.48419e-05
            229    5.43372e-06    1.00165e+00    5.01648e-01   -4.36543e-05   -4.36543e-05
            230    5.14971e-06    1.00160e+00    5.01605e-01   -4.24981e-05   -4.24981e-05
            231    4.88055e-06    1.00156e+00    5.01562e-01   -4.13726e-05   -4.13726e-05
            232    4.62545e-06    1.00152e+00    5.01521e-01   -4.02768e-05   -4.02768e-05
            233    4.38369e-06    1.00148e+00    5.01480e-01   -3.92101e-05   -3.92101e-05
            234    4.15457e-06    1.00144e+00    5.01441e-01   -3.81717e-05   -3.81717e-05
            235    3.93742e-06    1.00140e+00    5.01403e-01   -3.71607e-05   -3.71607e-05
            236    3.73162e-06    1.00137e+00    5.01366e-01   -3.61765e-05   -3.61765e-05
            237    3.53657e-06    1.00133e+00    5.01330e-01   -3.52184e-05   -3.52184e-05
            238    3.35172e-06    1.00129e+00    5.01295e-01   -3.42857e-05   -3.42857e-05
            239    3.17654e-06    1.00126e+00    5.01260e-01   -3.33777e-05   -3.33777e-05
            240    3.01051e-06    1.00123e+00    5.01227e-01   -3.24937e-05   -3.24937e-05
            241    2.85315e-06    1.00119e+00    5.01194e-01   -3.16331e-05   -3.16331e-05
            242    2.70403e-06    1.00116e+00    5.01163e-01   -3.07953e-05   -3.07953e-05
